350
48 1000
33 19 26453
13 35 82692
32 5 93697
23 7 156888
43 27 90822
34 16 134472
20 44 107186
24 5 66477
43 15 59862
13 47 106981
40 46 51072
29 26 85486
13 6 82308
48 2 26520
6 21 49105
8 22 76123
26 11 65632
47 24 91299
41 25 89678
28 43 79450
29 20 91661
12 3 31562
27 18 56901
10 8 45251
1 27 168966
41 34 60154
23 41 119713
22 14 53010
48 8 97269
8 7 80119
7 6 71774
18 13 64264
20 19 69342
45 33 68316
39 2 96713
48 6 111509
9 6 97073
10 17 55046
47 5 56241
36 10 52766
27 28 84254
27 33 87497
33 16 84341
5 20 97176
22 15 71374
23 39 129753
39 14 137309
43 25 26931
43 2 37009
6 25 21049
2 37 79802
20 24 102768
24 33 64780
30 43 74643
33 35 59953
21 23 91974
28 9 80291
21 3 40133
3 36 62293
21 24 41383
39 6 72105
20 36 66348
37 5 63432
11 18 14678
21 22 46520
14 2 159025
39 34 70194
28 7 69071
38 3 28132
45 4 117555
29 11 90771
28 37 51841
19 14 102586
35 2 89202
14 41 127269
26 28 62175
13 32 122941
10 30 49171
27 47 107904
10 16 117705
12 36 60648
10 41 43387
30 18 40722
6 4 89959
40 29 113642
3 30 58698
13 9 14765
30 5 89556
40 14 135889
2 10 71553
31 22 84418
16 47 102265
35 29 71878
21 26 73111
27 48 113590
9 15 82111
23 25 160025
47 43 84924
25 24 56539
21 42 78720
41 5 28294
6 41 76844
38 23 150441
36 17 61558
39 9 50374
26 16 134055
8 33 53000
44 46 124862
37 48 81177
1 31 143806
1 43 186019
17 27 103498
26 45 104542
15 31 62752
5 31 93931
47 33 73313
8 27 34497
26 25 62130
8 18 22404
3 42 118853
29 47 92646
37 30 40922
15 45 69773
28 18 45529
21 30 33523
5 39 57146
12 26 98012
37 44 88379
25 34 100466
24 44 72468
6 19 52161
32 36 102562
31 36 75016
6 30 67670
40 22 82879
33 46 76621
48 26 51140
11 2 71779
43 14 140650
36 5 93151
22 16 148577
38 45 113184
26 18 69120
32 30 98967
43 11 48599
12 32 90733
25 3 63493
12 28 47456
27 20 79855
47 44 108171
35 10 67162
8 34 62018
21 45 44919
4 46 72551
33 29 82244
20 23 152420
39 3 29661
19 45 47975
27 5 91921
45 39 72109
18 43 33921
29 9 86221
